workers,"epoch time, ms",efficiency score
1,361.070872,7.008884
2,186.778208,7.388135
3,128.114827,7.624083
4,95.750234,7.816900
5,78.277505,7.956130
6,66.2066,8.075695
7,57.51457,8.178985
8,51.592895,8.260552
9,47.345881,8.326201
10,42.98408,8.401320
11,41.344327,8.431934
12,39.442038,8.469309
13,38.10792,8.496823
15,37.187085,8.516490
20,37.036837,8.519754
30,37.132592,8.517672
40,37.11789,8.517991
50,37.005417,8.520439
60,36.95755,8.521483
100,37.421948,8.511419
300,37.372744,8.512479
500,37.58701,8.507878
700,38.056061,8.497916
1000,38.476437,8.489110
1500,38.58492,8.486856
2000,39.610245,8.465919
2500,39.867172,8.455970
3000,39.963953,8.458845
3500,40.817274,8.442082
